"","sampleName","fileName","condition"
"1","lowerlobe-TCGA-18-3421-01A-01R-0980-07.count","lowerlobe-TCGA-18-3421-01A-01R-0980-07.count","lowerlobe"
"2","lowerlobe-TCGA-18-4721-01A-01R-1443-07.count","lowerlobe-TCGA-18-4721-01A-01R-1443-07.count","lowerlobe"
"3","lowerlobe-TCGA-21-1076-01A-01R-0692-07.count","lowerlobe-TCGA-21-1076-01A-01R-0692-07.count","lowerlobe"
"4","lowerlobe-TCGA-21-1080-01A-01R-0692-07.count","lowerlobe-TCGA-21-1080-01A-01R-0692-07.count","lowerlobe"
"5","lowerlobe-TCGA-21-1082-01A-01R-0692-07.count","lowerlobe-TCGA-21-1082-01A-01R-0692-07.count","lowerlobe"
"6","lowerlobe-TCGA-21-A5DI-01A-31R-A26W-07.count","lowerlobe-TCGA-21-A5DI-01A-31R-A26W-07.count","lowerlobe"
"7","lowerlobe-TCGA-37-4135-01A-01R-1100-07.count","lowerlobe-TCGA-37-4135-01A-01R-1100-07.count","lowerlobe"
"8","lowerlobe-TCGA-39-5027-01A-21R-1820-07.count","lowerlobe-TCGA-39-5027-01A-21R-1820-07.count","lowerlobe"
"9","lowerlobe-TCGA-39-5035-01A-01R-1443-07.count","lowerlobe-TCGA-39-5035-01A-01R-1443-07.count","lowerlobe"
"10","lowerlobe-TCGA-43-6143-01A-11R-1820-07.count","lowerlobe-TCGA-43-6143-01A-11R-1820-07.count","lowerlobe"
"11","lowerlobe-TCGA-43-7656-01A-11R-2125-07.count","lowerlobe-TCGA-43-7656-01A-11R-2125-07.count","lowerlobe"
"12","lowerlobe-TCGA-44-3398-01A-01R-1107-07.count","lowerlobe-TCGA-44-3398-01A-01R-1107-07.count","lowerlobe"
"13","lowerlobe-TCGA-44-5644-01A-21R-2039-07.count","lowerlobe-TCGA-44-5644-01A-21R-2039-07.count","lowerlobe"
"14","lowerlobe-TCGA-44-6148-01A-11R-1755-07.count","lowerlobe-TCGA-44-6148-01A-11R-1755-07.count","lowerlobe"
"15","lowerlobe-TCGA-46-3766-01A-01R-0980-07.count","lowerlobe-TCGA-46-3766-01A-01R-0980-07.count","lowerlobe"
"16","lowerlobe-TCGA-46-3767-01A-01R-0980-07.count","lowerlobe-TCGA-46-3767-01A-01R-0980-07.count","lowerlobe"
"17","lowerlobe-TCGA-55-6987-01A-11R-1949-07.count","lowerlobe-TCGA-55-6987-01A-11R-1949-07.count","lowerlobe"
"18","lowerlobe-TCGA-55-7725-01A-11R-2170-07.count","lowerlobe-TCGA-55-7725-01A-11R-2170-07.count","lowerlobe"
"19","lowerlobe-TCGA-55-7726-01A-11R-2170-07.count","lowerlobe-TCGA-55-7726-01A-11R-2170-07.count","lowerlobe"
"20","lowerlobe-TCGA-55-7903-01A-11R-2170-07.count","lowerlobe-TCGA-55-7903-01A-11R-2170-07.count","lowerlobe"
"21","lowerlobe-TCGA-55-8085-01A-11R-2241-07.count","lowerlobe-TCGA-55-8085-01A-11R-2241-07.count","lowerlobe"
"22","lowerlobe-TCGA-55-8091-01A-11R-2241-07.count","lowerlobe-TCGA-55-8091-01A-11R-2241-07.count","lowerlobe"
"23","lowerlobe-TCGA-55-8203-01A-11R-2241-07.count","lowerlobe-TCGA-55-8203-01A-11R-2241-07.count","lowerlobe"
"24","lowerlobe-TCGA-55-8207-01A-11R-2241-07.count","lowerlobe-TCGA-55-8207-01A-11R-2241-07.count","lowerlobe"
"25","lowerlobe-TCGA-55-8301-01A-11R-2287-07.count","lowerlobe-TCGA-55-8301-01A-11R-2287-07.count","lowerlobe"
"26","lowerlobe-TCGA-55-8510-01A-11R-2403-07.count","lowerlobe-TCGA-55-8510-01A-11R-2403-07.count","lowerlobe"
"27","lowerlobe-TCGA-55-8621-01A-11R-2403-07.count","lowerlobe-TCGA-55-8621-01A-11R-2403-07.count","lowerlobe"
"28","lowerlobe-TCGA-55-A491-01A-11R-A24H-07.count","lowerlobe-TCGA-55-A491-01A-11R-A24H-07.count","lowerlobe"
"29","lowerlobe-TCGA-55-A494-01A-11R-A24X-07.count","lowerlobe-TCGA-55-A494-01A-11R-A24X-07.count","lowerlobe"
"30","lowerlobe-TCGA-56-7580-01A-11R-2045-07.count","lowerlobe-TCGA-56-7580-01A-11R-2045-07.count","lowerlobe"
"31","lowerlobe-TCGA-56-7582-01A-11R-2045-07.count","lowerlobe-TCGA-56-7582-01A-11R-2045-07.count","lowerlobe"
"32","lowerlobe-TCGA-56-8309-01A-11R-2296-07.count","lowerlobe-TCGA-56-8309-01A-11R-2296-07.count","lowerlobe"
"33","lowerlobe-TCGA-56-8622-01A-11R-2403-07.count","lowerlobe-TCGA-56-8622-01A-11R-2403-07.count","lowerlobe"
"34","lowerlobe-TCGA-56-A4ZJ-01A-11R-A262-07.count","lowerlobe-TCGA-56-A4ZJ-01A-11R-A262-07.count","lowerlobe"
"35","lowerlobe-TCGA-56-A4ZK-01A-11R-A262-07.count","lowerlobe-TCGA-56-A4ZK-01A-11R-A262-07.count","lowerlobe"
"36","lowerlobe-TCGA-56-A5DS-01A-11R-A27Q-07.count","lowerlobe-TCGA-56-A5DS-01A-11R-A27Q-07.count","lowerlobe"
"37","lowerlobe-TCGA-58-8393-01A-11R-2326-07.count","lowerlobe-TCGA-58-8393-01A-11R-2326-07.count","lowerlobe"
"38","lowerlobe-TCGA-58-A46N-01A-11R-A24H-07.count","lowerlobe-TCGA-58-A46N-01A-11R-A24H-07.count","lowerlobe"
"39","lowerlobe-TCGA-60-2713-01A-01R-0851-07.count","lowerlobe-TCGA-60-2713-01A-01R-0851-07.count","lowerlobe"
"40","lowerlobe-TCGA-60-2720-01A-01R-0851-07.count","lowerlobe-TCGA-60-2720-01A-01R-0851-07.count","lowerlobe"
"41","lowerlobe-TCGA-62-A46V-01A-11R-A24H-07.count","lowerlobe-TCGA-62-A46V-01A-11R-A24H-07.count","lowerlobe"
"42","lowerlobe-TCGA-64-1676-01A-01R-0946-07.count","lowerlobe-TCGA-64-1676-01A-01R-0946-07.count","lowerlobe"
"43","lowerlobe-TCGA-67-3773-01A-01R-0946-07.count","lowerlobe-TCGA-67-3773-01A-01R-0946-07.count","lowerlobe"
"44","lowerlobe-TCGA-67-3774-01A-01R-0946-07.count","lowerlobe-TCGA-67-3774-01A-01R-0946-07.count","lowerlobe"
"45","lowerlobe-TCGA-67-6215-01A-11R-1755-07.count","lowerlobe-TCGA-67-6215-01A-11R-1755-07.count","lowerlobe"
"46","lowerlobe-TCGA-68-A59J-01A-21R-A26W-07.count","lowerlobe-TCGA-68-A59J-01A-21R-A26W-07.count","lowerlobe"
"47","lowerlobe-TCGA-69-7761-01A-11R-2170-07.count","lowerlobe-TCGA-69-7761-01A-11R-2170-07.count","lowerlobe"
"48","lowerlobe-TCGA-73-7498-01A-12R-2187-07.count","lowerlobe-TCGA-73-7498-01A-12R-2187-07.count","lowerlobe"
"49","lowerlobe-TCGA-85-8048-01A-11R-2247-07.count","lowerlobe-TCGA-85-8048-01A-11R-2247-07.count","lowerlobe"
"50","lowerlobe-TCGA-85-8049-01A-11R-2247-07.count","lowerlobe-TCGA-85-8049-01A-11R-2247-07.count","lowerlobe"
"51","lowerlobe-TCGA-85-8354-01A-31R-2326-07.count","lowerlobe-TCGA-85-8354-01A-31R-2326-07.count","lowerlobe"
"52","lowerlobe-TCGA-85-8479-01A-11R-2326-07.count","lowerlobe-TCGA-85-8479-01A-11R-2326-07.count","lowerlobe"
"53","lowerlobe-TCGA-85-8580-01A-31R-2403-07.count","lowerlobe-TCGA-85-8580-01A-31R-2403-07.count","lowerlobe"
"54","lowerlobe-TCGA-85-A4PA-01A-11R-A24Z-07.count","lowerlobe-TCGA-85-A4PA-01A-11R-A24Z-07.count","lowerlobe"
"55","lowerlobe-TCGA-86-7954-01A-11R-2187-07.count","lowerlobe-TCGA-86-7954-01A-11R-2187-07.count","lowerlobe"
"56","lowerlobe-TCGA-86-7955-01A-11R-2187-07.count","lowerlobe-TCGA-86-7955-01A-11R-2187-07.count","lowerlobe"
"57","lowerlobe-TCGA-86-8281-01A-11R-2287-07.count","lowerlobe-TCGA-86-8281-01A-11R-2287-07.count","lowerlobe"
"58","lowerlobe-TCGA-86-8668-01A-11R-2403-07.count","lowerlobe-TCGA-86-8668-01A-11R-2403-07.count","lowerlobe"
"59","lowerlobe-TCGA-86-A4P7-01A-11R-A24X-07.count","lowerlobe-TCGA-86-A4P7-01A-11R-A24X-07.count","lowerlobe"
"60","lowerlobe-TCGA-91-6828-01A-11R-1858-07.count","lowerlobe-TCGA-91-6828-01A-11R-1858-07.count","lowerlobe"
"61","lowerlobe-TCGA-91-6835-01A-11R-1858-07.count","lowerlobe-TCGA-91-6835-01A-11R-1858-07.count","lowerlobe"
"62","lowerlobe-TCGA-91-6847-01A-11R-1949-07.count","lowerlobe-TCGA-91-6847-01A-11R-1949-07.count","lowerlobe"
"63","lowerlobe-TCGA-91-8496-01A-11R-2403-07.count","lowerlobe-TCGA-91-8496-01A-11R-2403-07.count","lowerlobe"
"64","lowerlobe-TCGA-91-8499-01A-11R-2403-07.count","lowerlobe-TCGA-91-8499-01A-11R-2403-07.count","lowerlobe"
"65","lowerlobe-TCGA-94-7033-01A-11R-1949-07.count","lowerlobe-TCGA-94-7033-01A-11R-1949-07.count","lowerlobe"
"66","lowerlobe-TCGA-94-7943-01A-11R-2187-07.count","lowerlobe-TCGA-94-7943-01A-11R-2187-07.count","lowerlobe"
"67","lowerlobe-TCGA-95-7944-01A-11R-2187-07.count","lowerlobe-TCGA-95-7944-01A-11R-2187-07.count","lowerlobe"
"68","lowerlobe-TCGA-95-7948-01A-11R-2187-07.count","lowerlobe-TCGA-95-7948-01A-11R-2187-07.count","lowerlobe"
"69","lowerlobe-TCGA-96-8169-01A-11R-2296-07.count","lowerlobe-TCGA-96-8169-01A-11R-2296-07.count","lowerlobe"
"70","lowerlobe-TCGA-97-7552-01A-11R-2039-07.count","lowerlobe-TCGA-97-7552-01A-11R-2039-07.count","lowerlobe"
"71","lowerlobe-TCGA-97-7553-01A-21R-2039-07.count","lowerlobe-TCGA-97-7553-01A-21R-2039-07.count","lowerlobe"
"72","lowerlobe-TCGA-97-8177-01A-11R-2287-07.count","lowerlobe-TCGA-97-8177-01A-11R-2287-07.count","lowerlobe"
"73","lowerlobe-TCGA-97-8552-01A-11R-2403-07.count","lowerlobe-TCGA-97-8552-01A-11R-2403-07.count","lowerlobe"
"74","lowerlobe-TCGA-97-A4M6-01A-11R-A24X-07.count","lowerlobe-TCGA-97-A4M6-01A-11R-A24X-07.count","lowerlobe"
"75","lowerlobe-TCGA-98-A53C-01A-11R-A262-07.count","lowerlobe-TCGA-98-A53C-01A-11R-A262-07.count","lowerlobe"
"76","lowerlobe-TCGA-L3-A4E7-01A-11R-A24Z-07.count","lowerlobe-TCGA-L3-A4E7-01A-11R-A24Z-07.count","lowerlobe"
"77","lowerlobe-TCGA-LA-A446-01A-21R-A24Z-07.count","lowerlobe-TCGA-LA-A446-01A-21R-A24Z-07.count","lowerlobe"
"78","lowerlobe-TCGA-MP-A4TH-01A-31R-A262-07.count","lowerlobe-TCGA-MP-A4TH-01A-31R-A262-07.count","lowerlobe"
"79","lowerlobe-TCGA-NJ-A4YP-01A-11R-A262-07.count","lowerlobe-TCGA-NJ-A4YP-01A-11R-A262-07.count","lowerlobe"
"80","lowerlobe-TCGA-NJ-A55A-01A-11R-A262-07.count","lowerlobe-TCGA-NJ-A55A-01A-11R-A262-07.count","lowerlobe"
"81","lowerlobe-TCGA-NK-A5CT-01A-31R-A26W-07.count","lowerlobe-TCGA-NK-A5CT-01A-31R-A26W-07.count","lowerlobe"
"82","upperlobe-TCGA-18-3409-01A-01R-0980-07.count","upperlobe-TCGA-18-3409-01A-01R-0980-07.count","upperlobe"
"83","upperlobe-TCGA-21-5784-01A-01R-1635-07.count","upperlobe-TCGA-21-5784-01A-01R-1635-07.count","upperlobe"
"84","upperlobe-TCGA-21-5786-01A-01R-1635-07.count","upperlobe-TCGA-21-5786-01A-01R-1635-07.count","upperlobe"
"85","upperlobe-TCGA-33-4547-01A-01R-1201-07.count","upperlobe-TCGA-33-4547-01A-01R-1201-07.count","upperlobe"
"86","upperlobe-TCGA-34-5234-01A-01R-1635-07.count","upperlobe-TCGA-34-5234-01A-01R-1635-07.count","upperlobe"
"87","upperlobe-TCGA-35-3615-01A-01R-0946-07.count","upperlobe-TCGA-35-3615-01A-01R-0946-07.count","upperlobe"
"88","upperlobe-TCGA-35-4122-01A-01R-1107-07.count","upperlobe-TCGA-35-4122-01A-01R-1107-07.count","upperlobe"
"89","upperlobe-TCGA-35-4123-01A-01R-1107-07.count","upperlobe-TCGA-35-4123-01A-01R-1107-07.count","upperlobe"
"90","upperlobe-TCGA-37-3789-01A-01R-0980-07.count","upperlobe-TCGA-37-3789-01A-01R-0980-07.count","upperlobe"
"91","upperlobe-TCGA-37-3792-01A-01R-0980-07.count","upperlobe-TCGA-37-3792-01A-01R-0980-07.count","upperlobe"
"92","upperlobe-TCGA-37-4130-01A-01R-1100-07.count","upperlobe-TCGA-37-4130-01A-01R-1100-07.count","upperlobe"
"93","upperlobe-TCGA-37-4141-01A-02R-1100-07.count","upperlobe-TCGA-37-4141-01A-02R-1100-07.count","upperlobe"
"94","upperlobe-TCGA-38-4625-01A-01R-1206-07.count","upperlobe-TCGA-38-4625-01A-01R-1206-07.count","upperlobe"
"95","upperlobe-TCGA-38-A44F-01A-11R-A24H-07.count","upperlobe-TCGA-38-A44F-01A-11R-A24H-07.count","upperlobe"
