"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"MIA",30.6791160272118,-2.22308461317727,0.294132951921722,-7.55809438776825,4.09017208371043e-14,2.99526232516354e-10,2.29753316530199,"down"
"ACTBP12",5.39808981685916,-1.65647631640377,0.27992038618534,-5.91766944515069,3.26535389564097e-09,5.58073355616392e-06,2.27180966890904,"down"
"IRAG2",962.246173483629,-1.2593482042979,0.213127769604419,-5.90888839420289,3.44423939221675e-09,1.63836942408083e-05,0.505287469029573,"down"
"TFF1",233.041965438333,-2.37868884319007,0.406088911897476,-5.8575567406544,4.69726355510638e-09,7.82850589151796e-06,1.68255731914937,"down"
"GFI1B",13.9686324182352,-1.57587122178758,0.270737638634906,-5.82065807227,5.86163762117194e-09,7.82850589151796e-06,2.29753316530199,"down"
"MLXP1",7.39495083364385,-1.77586437428,0.305840755952204,-5.80650008123028,6.3792241701433e-09,7.82850589151796e-06,2.29753316530199,"down"
"HEPACAM2",71.5238897406707,-2.10938142971443,0.376031325133992,-5.60958965044411,2.02806917024678e-08,2.04816276423217e-05,2.27180966890904,"down"
"ART3",12.1618841995094,-1.44448467039761,0.261849962168398,-5.51645934349475,3.45897462523247e-08,4.32308444193404e-05,1.49577483009383,"down"
"ST18",34.0148664126192,-1.12184337900379,0.207036433276452,-5.41857952849201,6.00744156469116e-08,4.32308444193404e-05,2.60133713933961,"down"
"FOXI1",26.4341683860769,-2.22185945496761,0.415342643493419,-5.34946143810252,8.82163545474651e-08,6.32254308056733e-05,2.27180966890904,"down"
"GRIN2A",136.074538842135,-1.84239335555616,0.352300237395303,-5.22961145066978,1.69866672109077e-07,7.374399720407e-05,3.5232534993216,"down"
"REG1A",44.8527265727688,-2.97862235400935,0.570166696328915,-5.2241254587256,1.74980116434119e-07,0.00010678266090873,2.29753316530199,"down"
"OLFM4",219.915046264913,-2.09844641472229,0.406435114229144,-5.1630539322427,2.42953103072742e-07,0.000164700868264096,1.73505340364169,"down"
"AZGP1P1",7.43428880990239,-2.16739900099958,0.429500434147516,-5.04632551839321,4.50387812649098e-07,0.000282171845488388,1.57971631346626,"down"
