"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"EREG",1013.61064329092,2.91828033037464,0.368640155151837,7.9163387102326,2.44606691984857e-15,1.94133591862634e-10,0.470066330603977,"up"
"LEP",53.8537196707898,2.54880653353131,0.335515234002019,7.59669390605365,3.03791959545491e-14,1.94133591862634e-10,3.94931629578788,"up"
"CALN1",16.5300910930962,2.87205105479394,0.398681790289549,7.20386815938612,5.85279600007353e-13,3.25093120857234e-09,2.27180966890904,"up"
"LINC00973",17.7018681711794,3.07326903023208,0.431494630964576,7.12238069651527,1.06078565250773e-12,4.65616880609379e-09,2.2998803540049,"up"
"PRAP1",50.859272623775,2.01691230316405,0.303465465908692,6.64626631278996,3.00621127251724e-11,6.97069477613626e-08,3.62801028336934,"up"
"SUN3",19.2889619934405,2.05737246139957,0.324173519025711,6.34651611144215,2.2024549109605e-10,6.99058257716233e-07,2.27180966890904,"up"
"SOHLH2",34.8192577648995,1.83207429066391,0.294073737045078,6.2299826875838,4.66486722203593e-10,8.11254498476753e-07,3.62801028336934,"up"
"LINC02055",6.11470486399508,2.6003706976985,0.422248071166478,6.15839568080172,7.34855653563602e-10,1.95021430377066e-06,2.00131310576831,"up"
"LHFPL4",90.8048445424724,2.40692836455381,0.392750239682369,6.12839438748752,8.87703227807711e-10,1.95021430377066e-06,2.29753316530199,"up"
"PIWIL3",6.0754550624834,3.34531604763017,0.558155368594249,5.99352122341055,2.05345351445981e-09,4.09697463221477e-06,2.2998803540049,"up"
"RNASE10",16.5444068019592,2.03962268672815,0.342508612723555,5.95495298792489,2.6014660092309e-09,4.75781985018172e-06,2.2998803540049,"up"
"CACNG8",27.235683351863,1.44921765856215,0.245716594051935,5.89792343554882,3.68104698500103e-09,5.77640803666998e-06,2.29753316530199,"up"
"TAC1",5.56869064178111,3.10666877793645,0.529438769777937,5.86785281939115,4.41474864433753e-09,6.45930522530309e-06,2.2998803540049,"up"
"LINC02365",7.34830990514057,1.77816092614966,0.307711798686065,5.77865695674473,7.52992779114081e-09,8.69777752147643e-06,2.2998803540049,"up"
"RANBP20P",4.46072537667378,1.91649292059251,0.33307512478989,5.75393590800715,8.71892234714795e-09,9.56761956564275e-06,2.2998803540049,"up"
"PNLDC1",37.9067835069224,1.62991573773811,0.293668631752166,5.55018671219074,2.85364661074426e-08,2.75661895464742e-05,2.27180966890904,"up"
"ZFR2",47.5125446963241,1.77903691382583,0.321823223582739,5.52799420135214,3.23912754669371e-08,2.96504539064828e-05,2.29753316530199,"up"
"MAJIN",24.8383829575306,1.89406118757762,0.347098441349287,5.45684152373248,4.84678566982644e-08,4.25920305097896e-05,2.29753316530199,"up"
"BCAR4",4.02722536824551,2.56822064068314,0.473986834613641,5.41833750040034,6.01557791444174e-08,5.4185191561817e-05,2.00131310576831,"up"
"SLC38A3",59.0993729045451,1.48700793222466,0.278385340103999,5.34154539771795,9.21575296743696e-08,6.39860396038867e-05,2.27180966890904,"up"
"TKTL1",23.8875138280931,1.82709562470657,0.342666155672866,5.33199907390575,9.71374343242705e-08,6.32254308056733e-05,2.60133713933961,"up"
"RP4-781K5.6",25.0209679077084,1.54405295248278,0.289895538912154,5.32623909383674,1.00267130687238e-07,6.32254308056733e-05,2.60133713933961,"up"
"CALCA",344.527824440914,2.56155335683018,0.483238857446292,5.30080169952987,1.15295265786991e-07,0.000109956002960978,1.43043172647087,"up"
"AC074389.5",5.53470049136186,3.07684348755573,0.581275619876469,5.29326085998517,1.20154333773582e-07,7.85172185989195e-05,2.27180966890904,"up"
"RPS16P9",6.70109066469565,2.28636218521847,0.435064978849274,5.25522001625088,1.47847616376323e-07,0.000112565978946697,1.74461621867974,"up"
"LINC01214",6.1484972285557,2.06709692367354,0.394469868458329,5.24018965441438,1.60411649952794e-07,0.000100689086310323,2.29753316530199,"up"
"LINC00942",333.660343164444,1.9095626503789,0.365114037062941,5.23004446977675,1.69469269053735e-07,0.000133913491606403,1.59691925975409,"up"
"FXYD4",29.5610326070298,1.74732177762775,0.336286573589176,5.19593083654408,2.03697986857479e-07,0.000116045021653559,2.27180966890904,"up"
"CLDN6",226.679976559157,1.94253086373957,0.378233113020044,5.13580328340165,2.80941410500688e-07,0.000164700868264096,1.96112842003951,"up"
"AC142293.3",4.54746787785349,2.57216150790423,0.502306817397753,5.12069798540572,3.0440683332773e-07,0.000164700868264096,2.27180966890904,"up"
"CDH18",10.8592507584094,2.3542190953943,0.461524230356226,5.10096532434971,3.37925476777404e-07,0.000164808461648283,2.2998803540049,"up"
"TLR8-AS1",10.1191768213254,1.81103113471786,0.355755798069078,5.09065809903176,3.56822914809385e-07,0.000172345238319392,2.27180966890904,"up"
"A1CF",5.39900235714913,1.57903312709246,0.312043452113508,5.06029886670424,4.18599821687101e-07,0.000191589780570147,2.29753316530199,"up"
"SLC16A12",96.0440018074597,1.25916780962003,0.25090740281643,5.01845619334425,5.20883675574996e-07,0.000164700868264096,3.62801028336934,"up"
"NSG2",18.253321367112,1.84357213204505,0.367480135378388,5.0167939830183,5.25408548365453e-07,0.000208056237597482,2.60133713933961,"up"
"F2",9.40902642482326,2.17715036278352,0.434367951575637,5.01222605140657,5.38039437623247e-07,0.000324366104415001,1.57971631346626,"up"
"LINC00513",26.6316809161566,1.25457663921856,0.250365028561343,5.01098993908075,5.41507460394844e-07,0.000237929876061982,2.29753316530199,"up"
"MAGEC2",67.2641536066247,3.32192929831609,0.668492577699877,4.96928374245538,6.72006724871672e-07,0.000182738548754787,3.94931629578788,"up"
"MYH4",2.31860263782929,2.05753050813292,0.418332660503035,4.91840753160127,8.72511159415736e-07,0.000348516094935007,2.29753316530199,"up"
"DRAIC",200.729271801631,1.60952467201334,0.328662371957999,4.89719788250974,9.72129312069444e-07,0.000369914877202816,2.29753316530199,"up"
"PNMA5",14.6123786836341,1.41214727529197,0.290417552898016,4.86247219288384,1.15928668793305e-06,0.000431230948280915,2.2998803540049,"up"
"PHGR1",3.50840216669918,2.11724729585295,0.435836976124556,4.85788818259391,1.18644376035475e-06,0.000506522605416393,1.93818316586726,"up"
"TAC3",9.62358033577235,1.71420052194978,0.353196653684321,4.85338834348611,1.2136968916647e-06,0.000639941643603423,1.49577483009383,"up"
