Gene Set Name,# Genes in Gene Set (K),Description,# Genes in Overlap (k),k/K,p-value,FDR q-value,up_down
HALLMARK_KRAS_SIGNALING_DN,200,Genes down-regulated by KRAS activation.,7,0.035,6.38E-04,3.19E-02,up
chr19p12,111,Ensembl 103 genes in cytogenetic band chr19p12,6,0.0541,1.55E-04,4.32E-02,up
chr19q13,1165,Ensembl 103 genes in cytogenetic band chr19q13,20,0.0172,3.22E-04,4.47E-02,up
MIKKELSEN_MEF_HCP_WITH_H3K27ME3,590,Genes with high-CpG-density promoters (HCP) bearing histone H3 trimethylation mark at K27 (H3K27me3) in MEF cells (embryonic fibroblast).,22,0.0373,4.26E-10,2.68E-06,up
BENPORATH_ES_WITH_H3K27ME3,1114,"Set 'H3K27 bound': genes posessing the trimethylated H3K27 (H3K27me3) mark in their promoters in human embryonic stem cells, as identified by ChIP on chip.",29,0.026,2.89E-09,9.08E-06,up
REACTOME_SIGNALING_BY_GPCR,698,Signaling by GPCR,21,0.0301,4.43E-08,8.47E-05,up
REACTOME_GPCR_LIGAND_BINDING,463,GPCR ligand binding,17,0.0367,5.39E-08,8.47E-05,up
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3,350,Genes with high-CpG-density promoters (HCP) bearing histone H3 dimethylation mark at K4 (H3K4me2) and trimethylation mark at K27 (H3K27me3) in neural precursor cells (NPC).,14,0.04,2.95E-07,3.71E-04,up
MIKKELSEN_NPC_HCP_WITH_H3K27ME3,345,Genes with high-CpG-density promoters (HCP) bearing histone H3 trimethylation mark at K27 (H3K27me3) in neural progenitor cells (NPC).,13,0.0377,1.52E-06,1.60E-03,up
HSIAO_LIVER_SPECIFIC_GENES,249,Liver selective genes,11,0.0442,2.15E-06,1.93E-03,up
YOSHIMURA_MAPK8_TARGETS_UP,1226,Genes up-regulated in vascular smooth muscle cells (VSMC) by MAPK8 (JNK1) [GeneID=5599].,25,0.0204,3.30E-06,2.60E-03,up
MARTENS_TRETINOIN_RESPONSE_UP,855,"Genes up-regulated in NB4 cells (acute promyelocytic leukemia, APL) in response to tretinoin [PubChem=444795]; based on Chip-seq data.",20,0.0234,4.53E-06,3.16E-03,up
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,272,Neuroactive ligand-receptor interaction,11,0.0404,5.02E-06,3.16E-03,up
LMO2COM_01,265,Genes having at least one occurence of the transcription factor binding site V$LMO2COM_01 (v7.4 TRANSFAC) in the regions spanning up to 4 kb around their transcription starting sites.,11,0.0415,3.91E-06,1.46E-02,up
YCATTAA_UNKNOWN,567,Genes having at least one occurence of the highly conserved motif M58 YCATTAA in the region spanning up to 4 kb around their transcription start sites. The motif does not match any known transcription factor binding site (v7.4 TRANSFAC).,15,0.0265,1.77E-05,3.30E-02,up
TAATTA_CHX10_01,823,Genes having at least one occurence of the highly conserved motif M23 TAATTA sites. The motif matches transcription factor binding site V$CHX10_01 (v7.4 TRANSFAC).,18,0.0219,3.30E-05,3.62E-02,up
MIR12121,27,Genes predicted to be targets of miRBase v22 microRNA hsa-miR-12121 in miRDB v6.0 with MirTarget v4 prediction scores > 80 (high confidence targets).,4,0.1481,3.99E-05,3.62E-02,up
MIR6895_3P,90,Genes predicted to be targets of miRBase v22 microRNA hsa-miR-6895-3p in miRDB v6.0 with MirTarget v4 prediction scores > 80 (high confidence targets).,6,0.0667,4.84E-05,3.62E-02,up
